date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:57	0/-1	---M--	301	error ('')			https://kids-outfit.myshopify.com/collections/new/products/baby-girls-frock	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/baby-girls-frock.3dd.delayed	(from https://kids-outfit.myshopify.com/collections/new/products/printed-legging-dress)
11:40:57	0/-1	---M--	301	error ('')			https://kids-outfit.myshopify.com/collections/new/products/baby-girls-frock	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/baby-girls-frock.3de.delayed	(from https://kids-outfit.myshopify.com/collections/new/products/printed-legging-dress)
11:40:57	61907/61907	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Sep%202020%2009:40:55%20GMT	http://cdn.shopify.com/s/files/1/0033/7064/7667/products/product27.jpg?v=1531460958	C:/My%20Web%20Sites/partyKid/cdn.shopify.com/s/files/1/0033/7064/7667/products/product272998.jpg	(from https://kids-outfit.myshopify.com/collections/new/products/multi-color-frock)
11:40:57	909/909	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:405de50cfa40e659a053a6fa70cff0d8	https://kids-outfit.myshopify.com/products/printed-legging-dress.oembed	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/products/printed-legging-dress.oembed	(from https://kids-outfit.myshopify.com/collections/new/products/printed-legging-dress)
11:40:58	127/127	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:40:58%20GMT	https://kids-outfit.myshopify.com/collections/new/products/crepe-skater-dress	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/crepe-skater-dress	(from https://kids-outfit.myshopify.com/collections/new/products/printed-legging-dress)
11:40:58	127/127	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:40:59%20GMT	https://kids-outfit.myshopify.com/collections/new/products/crepe-skater-dress	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/crepe-skater-dress	(from https://kids-outfit.myshopify.com/collections/new/products/printed-legging-dress)
11:40:59	124/124	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:40:59%20GMT	https://kids-outfit.myshopify.com/collections/new/products/transparent-top	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/transparent-top	(from https://kids-outfit.myshopify.com/collections/new/products/printed-legging-dress)
11:40:59	124/124	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:40:59%20GMT	https://kids-outfit.myshopify.com/collections/new/products/transparent-top	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/transparent-top	(from https://kids-outfit.myshopify.com/collections/new/products/printed-legging-dress)
11:40:59	131/131	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:00%20GMT	https://kids-outfit.myshopify.com/collections/new/products/top-with-full-sleevesn	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/top-with-full-sleevesn	(from https://kids-outfit.myshopify.com/collections/new/products/printed-legging-dress)
11:41:00	131/131	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:00%20GMT	https://kids-outfit.myshopify.com/collections/new/products/top-with-full-sleevesn	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/top-with-full-sleevesn	(from https://kids-outfit.myshopify.com/collections/new/products/printed-legging-dress)
11:41:00	127/127	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:01%20GMT	https://kids-outfit.myshopify.com/collections/new/products/cotton-t-shirt-fit	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/cotton-t-shirt-fit	(from https://kids-outfit.myshopify.com/collections/new/products/printed-legging-dress)
11:41:01	127/127	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:01%20GMT	https://kids-outfit.myshopify.com/collections/new/products/cotton-t-shirt-fit	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/cotton-t-shirt-fit	(from https://kids-outfit.myshopify.com/collections/new/products/printed-legging-dress)
11:41:01	127/127	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:01%20GMT	https://kids-outfit.myshopify.com/collections/new/products/crepe-skater-dress	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/crepe-skater-dress	(from https://kids-outfit.myshopify.com/collections/new/products/printed-legging-dress)
11:41:01	127/127	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:02%20GMT	https://kids-outfit.myshopify.com/collections/new/products/crepe-skater-dress	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/crepe-skater-dress	(from https://kids-outfit.myshopify.com/collections/new/products/printed-legging-dress)
11:41:02	124/124	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:02%20GMT	https://kids-outfit.myshopify.com/collections/new/products/transparent-top	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/transparent-top	(from https://kids-outfit.myshopify.com/collections/new/products/printed-legging-dress)
11:41:02	124/124	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:03%20GMT	https://kids-outfit.myshopify.com/collections/new/products/transparent-top	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/transparent-top	(from https://kids-outfit.myshopify.com/collections/new/products/printed-legging-dress)
11:41:03	131/131	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:03%20GMT	https://kids-outfit.myshopify.com/collections/new/products/top-with-full-sleevesn	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/top-with-full-sleevesn	(from https://kids-outfit.myshopify.com/collections/new/products/printed-legging-dress)
11:41:03	131/131	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:04%20GMT	https://kids-outfit.myshopify.com/collections/new/products/top-with-full-sleevesn	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/top-with-full-sleevesn	(from https://kids-outfit.myshopify.com/collections/new/products/printed-legging-dress)
11:41:04	127/127	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:04%20GMT	https://kids-outfit.myshopify.com/collections/new/products/cotton-t-shirt-fit	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/cotton-t-shirt-fit	(from https://kids-outfit.myshopify.com/collections/new/products/printed-legging-dress)
11:41:04	127/127	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:04%20GMT	https://kids-outfit.myshopify.com/collections/new/products/cotton-t-shirt-fit	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/cotton-t-shirt-fit	(from https://kids-outfit.myshopify.com/collections/new/products/printed-legging-dress)
11:41:05	0/-1	---M--	400	error ('')			https:////cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.1/index.js	C:/My%20Web%20Sites/partyKid/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.1/index.3f0.delayed	(from https://kids-outfit.myshopify.com/products/printed-legging-dress)
11:41:07	3825/3825	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Sep%202020%2009:41:06%20GMT	https://cdn.shopify.com/s/files/1/0033/7064/7667/products/product5_medium.jpg?v=1531460378	C:/My%20Web%20Sites/partyKid/cdn.shopify.com/s/files/1/0033/7064/7667/products/product5_medium7b48.jpg	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
11:41:07	0/-1	---M--	400	error ('')			https:////cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.1/index.js	C:/My%20Web%20Sites/partyKid/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.1/index.3f3.delayed	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
11:41:07	0/-1	---M--	301	error ('')			https://kids-outfit.myshopify.com/collections/new/products/baby-girls-frock	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/baby-girls-frock.3f4.delayed	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
11:41:07	0/-1	---M--	301	error ('')			https://kids-outfit.myshopify.com/collections/new/products/baby-girls-frock	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/baby-girls-frock.3f5.delayed	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
11:41:07	60560/60560	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Sep%202020%2009:41:05%20GMT	http://cdn.shopify.com/s/files/1/0033/7064/7667/products/product14.jpg?v=1531460600	C:/My%20Web%20Sites/partyKid/cdn.shopify.com/s/files/1/0033/7064/7667/products/product14f3ae.jpg	(from https://kids-outfit.myshopify.com/collections/new/products/printed-legging-dress)
11:41:07	904/904	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:52ec464a3fb418c9fed2ff508c7501ff	https://kids-outfit.myshopify.com/products/sleeves-shirt-pant-set.oembed	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/products/sleeves-shirt-pant-set.oembed	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
11:41:08	127/127	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:08%20GMT	https://kids-outfit.myshopify.com/collections/new/products/crepe-skater-dress	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/crepe-skater-dress	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
11:41:08	127/127	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:08%20GMT	https://kids-outfit.myshopify.com/collections/new/products/crepe-skater-dress	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/crepe-skater-dress	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
11:41:08	124/124	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:09%20GMT	https://kids-outfit.myshopify.com/collections/new/products/transparent-top	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/transparent-top	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
11:41:09	124/124	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:09%20GMT	https://kids-outfit.myshopify.com/collections/new/products/transparent-top	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/transparent-top	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
11:41:09	131/131	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:10%20GMT	https://kids-outfit.myshopify.com/collections/new/products/top-with-full-sleevesn	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/top-with-full-sleevesn	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
11:41:10	131/131	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:10%20GMT	https://kids-outfit.myshopify.com/collections/new/products/top-with-full-sleevesn	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/top-with-full-sleevesn	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
11:41:10	127/127	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:10%20GMT	https://kids-outfit.myshopify.com/collections/new/products/cotton-t-shirt-fit	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/cotton-t-shirt-fit	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
11:41:10	127/127	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:11%20GMT	https://kids-outfit.myshopify.com/collections/new/products/cotton-t-shirt-fit	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/cotton-t-shirt-fit	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
11:41:11	127/127	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:11%20GMT	https://kids-outfit.myshopify.com/collections/new/products/crepe-skater-dress	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/crepe-skater-dress	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
11:41:11	127/127	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:12%20GMT	https://kids-outfit.myshopify.com/collections/new/products/crepe-skater-dress	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/crepe-skater-dress	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
11:41:12	124/124	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:12%20GMT	https://kids-outfit.myshopify.com/collections/new/products/transparent-top	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/transparent-top	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
11:41:12	124/124	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:12%20GMT	https://kids-outfit.myshopify.com/collections/new/products/transparent-top	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/transparent-top	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
11:41:12	131/131	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:13%20GMT	https://kids-outfit.myshopify.com/collections/new/products/top-with-full-sleevesn	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/top-with-full-sleevesn	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
11:41:13	131/131	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:13%20GMT	https://kids-outfit.myshopify.com/collections/new/products/top-with-full-sleevesn	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/top-with-full-sleevesn	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
11:41:13	127/127	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:13%20GMT	https://kids-outfit.myshopify.com/collections/new/products/cotton-t-shirt-fit	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/cotton-t-shirt-fit	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
11:41:14	127/127	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Sep%202020%2009:41:14%20GMT	https://kids-outfit.myshopify.com/collections/new/products/cotton-t-shirt-fit	C:/My%20Web%20Sites/partyKid/kids-outfit.myshopify.com/collections/new/products/cotton-t-shirt-fit	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
11:41:15	2770/2770	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2009:41:15%20GMT	http://cdn.shopify.com/s/files/1/0033/7064/7667/files/grey.png?224	C:/My%20Web%20Sites/partyKid/cdn.shopify.com/s/files/1/0033/7064/7667/files/grey.40713fe.delayed	(from https://kids-outfit.myshopify.com/collections/new/products/sleeves-shirt-pant-set)
